dateym,rf
199702,0.0642
199703,0.0669
199704,0.0689
199705,0.0671
199706,0.0649
199707,0.0622
199708,0.063
199709,0.0621
199710,0.0603
199711,0.0588
199712,0.0581
199801,0.0554
199802,0.0557
199803,0.0565
199804,0.0564
199805,0.0565
199806,0.055
199807,0.0546
199808,0.0534
199809,0.0481
199810,0.0453
199811,0.0483
199812,0.0465
199901,0.0472
199902,0.05
199903,0.0523
199904,0.0518
199905,0.0554
199906,0.059
199907,0.0579
199908,0.0594
199909,0.0592
199910,0.0611
199911,0.0603
199912,0.0628
200001,0.0666
200002,0.0652
200003,0.0626
200004,0.0599
200005,0.0644
200006,0.061
200007,0.0605
200008,0.0583
200009,0.058
200010,0.0574
200011,0.0572
200012,0.0524
200101,0.0516
200102,0.051
200103,0.0489
200104,0.0514
200105,0.0539
200106,0.0528
200107,0.0524
200108,0.0497
200109,0.0473
200110,0.0457
200111,0.0465
200112,0.0509
200201,0.0504
200202,0.0491
200203,0.0528
200204,0.0521
200205,0.0516
200206,0.0493
200207,0.0465
200208,0.0426
200209,0.0387
200210,0.0394
200211,0.0405
200212,0.0403
200301,0.0405
200302,0.039
200303,0.0381
200304,0.0396
200305,0.0357
200306,0.0333
200307,0.0398
200308,0.0445
200309,0.0427
200310,0.0429
200311,0.043
200312,0.0427
200401,0.0415
200402,0.0408
200403,0.0383
200404,0.0435
200405,0.0472
200406,0.0473
200407,0.045
200408,0.0428
200409,0.0413
200410,0.041
200411,0.0419
200412,0.0423
200501,0.0422
200502,0.0417
200503,0.045
200504,0.0434
200505,0.0414
200506,0.04
200507,0.0418
200508,0.0426
200509,0.042
200510,0.0446
200511,0.0454
200512,0.0447
200601,0.0442
200602,0.0457
200603,0.0472
200604,0.0499
200605,0.0511
200606,0.0511
200607,0.0509
200608,0.0488
200609,0.0472
200610,0.0473
200611,0.046
200612,0.0456
200701,0.0476
200702,0.0472
200703,0.0456
200704,0.0469
200705,0.0475
200706,0.051
200707,0.05
200708,0.0467
200709,0.0452
200710,0.0453
200711,0.0415
200712,0.041
200801,0.0374
200802,0.0374
200803,0.0351
200804,0.0368
200805,0.0388
200806,0.041
200807,0.0401
200808,0.0389
200809,0.0369
200810,0.0381
200811,0.0353
200812,0.0242
200901,0.0252
200902,0.0287
200903,0.0282
200904,0.0293
200905,0.0329
200906,0.0372
200907,0.0356
200908,0.0359
200909,0.034
200910,0.0339
200911,0.034
200912,0.0359
201001,0.0373
201002,0.0369
201003,0.0373
201004,0.0385
201005,0.0342
201006,0.032
201007,0.0301
201008,0.027
201009,0.0265
201010,0.0254
201011,0.0276
201012,0.0329
201101,0.0339
201102,0.0358
201103,0.0341
201104,0.0346
201105,0.0317
201106,0.03
201107,0.03
201108,0.023
201109,0.0198
201110,0.0215
201111,0.0201
201112,0.0198
201201,0.0197
201202,0.0197
201203,0.0217
201204,0.0205
201205,0.018
201206,0.0162
201207,0.0153
201208,0.0168
201209,0.0172
201210,0.0175
201211,0.0165
201212,0.0172
201301,0.0191
201302,0.0198
201303,0.0196
201304,0.0176
201305,0.0193
201306,0.023
201307,0.0258
201308,0.0274
201309,0.0281
201310,0.0262
201311,0.0272
201312,0.029
201401,0.0286
201402,0.0271
201403,0.0272
201404,0.0271
201405,0.0256
201406,0.026
201407,0.0254
201408,0.0242
201409,0.0253
201410,0.023
201411,0.0233
201412,0.0221
201501,0.0188
201502,0.0198
201503,0.0204
201504,0.0194
201505,0.022
201506,0.0236
201507,0.0232
201508,0.0217
201509,0.0217
201510,0.0207
201511,0.0226
201512,0.0224
201601,0.0209
201602,0.0178
201603,0.0189
201604,0.0181
201605,0.0181
201606,0.0164
201607,0.015
201608,0.0156
201609,0.0163
201610,0.0176
201611,0.0214
201612,0.0249
201701,0.0243
201702,0.0242
201703,0.0248
201704,0.023
201705,0.023
201706,0.0219
201707,0.0232
201708,0.0221
201709,0.022
201710,0.0236
201711,0.0235
201712,0.024
201801,0.0258
201802,0.0286
201803,0.0284
201804,0.0287
201805,0.0298
201806,0.0291
201807,0.0289
201808,0.0289
201809,0.03
201810,0.0315
201811,0.0312
201812,0.0283
201901,0.0271
201902,0.0268
201903,0.0257
201904,0.0253
201905,0.024
201906,0.0207
201907,0.0206
201908,0.0163
201909,0.017
201910,0.0171
201911,0.0181
201912,0.0186
202001,0.0176
202002,0.015
202003,0.0087
202004,0.0066
202005,0.0067
202006,0.0073
