dateym,rf
200008,0.0618
200009,0.0613
200010,0.0601
200011,0.0609
200012,0.056
200101,0.0481
200102,0.0468
200103,0.043
200104,0.0398
200105,0.0378
200106,0.0358
200107,0.0362
200108,0.0347
200109,0.0282
200110,0.0233
200111,0.0218
200112,0.0222
200201,0.0216
200202,0.0223
200203,0.0257
200204,0.0248
200205,0.0235
200206,0.022
200207,0.0196
200208,0.0176
200209,0.0172
200210,0.0165
200211,0.0149
200212,0.0145
200301,0.0136
200302,0.013
200303,0.0124
200304,0.0127
200305,0.0118
200306,0.0101
200307,0.0112
200308,0.0131
200309,0.0124
200310,0.0125
200311,0.0134
200312,0.0131
200401,0.0124
200402,0.0124
200403,0.0119
200404,0.0143
200405,0.0178
200406,0.0212
200407,0.021
200408,0.0202
200409,0.0212
200410,0.0223
200411,0.025
200412,0.0267
200501,0.0286
200502,0.0303
200503,0.033
200504,0.0332
200505,0.0333
200506,0.0336
200507,0.0364
200508,0.0387
200509,0.0385
200510,0.0418
200511,0.0433
200512,0.0435
200601,0.0445
200602,0.0468
200603,0.0477
200604,0.049
200605,0.05
200606,0.0516
200607,0.0522
200608,0.0508
200609,0.0497
200610,0.0501
200611,0.0501
200612,0.0494
200701,0.0506
200702,0.0505
200703,0.0492
200704,0.0493
200705,0.0491
200706,0.0496
200707,0.0496
200708,0.0447
200709,0.0414
200710,0.041
200711,0.035
200712,0.0326
200801,0.0271
200802,0.0205
200803,0.0154
200804,0.0174
200805,0.0206
200806,0.0242
200807,0.0228
200808,0.0218
200809,0.0191
200810,0.0142
200811,0.0107
200812,0.0049
200901,0.0044
200902,0.0062
200903,0.0064
200904,0.0055
200905,0.005
200906,0.0051
200907,0.0048
200908,0.0046
200909,0.004
200910,0.0037
200911,0.0031
200912,0.0037
201001,0.0035
201002,0.0035
201003,0.004
201004,0.0045
201005,0.0037
201006,0.0032
201007,0.0029
201008,0.0026
201009,0.0026
201010,0.0023
201011,0.0025
201012,0.0029
201101,0.0027
201102,0.0029
201103,0.0026
201104,0.0025
201105,0.0019
201106,0.0018
201107,0.0019
201108,0.0011
201109,0.001
201110,0.0011
201111,0.0011
201112,0.0012
201201,0.0012
201202,0.0016
201203,0.0019
201204,0.0018
201205,0.0019
201206,0.0019
201207,0.0019
201208,0.0018
201209,0.0018
201210,0.0018
201211,0.0018
201212,0.0016
201301,0.0015
201302,0.0016
201303,0.0015
201304,0.0012
201305,0.0012
201306,0.0014
201307,0.0012
201308,0.0013
201309,0.0012
201310,0.0012
201311,0.0012
201312,0.0013
201401,0.0012
201402,0.0012
201403,0.0013
201404,0.0011
201405,0.001
201406,0.001
201407,0.0011
201408,0.0011
201409,0.0011
201410,0.001
201411,0.0013
201412,0.0021
201501,0.002
201502,0.0022
201503,0.0025
201504,0.0023
201505,0.0024
201506,0.0028
201507,0.003
201508,0.0038
201509,0.0037
201510,0.0026
201511,0.0048
201512,0.0065
201601,0.0054
201602,0.0053
201603,0.0066
201604,0.0056
201605,0.0059
201606,0.0055
201607,0.0051
201608,0.0057
201609,0.0059
201610,0.0066
201611,0.0074
201612,0.0087
201701,0.0083
201702,0.0082
201703,0.0101
201704,0.0104
201705,0.0112
201706,0.012
201707,0.0122
201708,0.0123
201709,0.0128
201710,0.014
201711,0.0156
201712,0.017
201801,0.018
201802,0.0196
201803,0.0206
201804,0.0215
201805,0.0227
201806,0.0233
201807,0.0239
201808,0.0245
201809,0.0256
201810,0.0265
201811,0.027
201812,0.0266
201901,0.0258
201902,0.0255
201903,0.0249
201904,0.0242
201905,0.0234
201906,0.02
201907,0.0196
201908,0.0177
201909,0.018
201910,0.0161
201911,0.0157
201912,0.0155
202001,0.0153
202002,0.0141
202003,0.0033
202004,0.0018
202005,0.0016
202006,0.0018
